Hand,Count,TotalProfitBB,AvgProfitBB,VPIP%,PFR%
95s,27,-38.739999999999995,-1.4348148148148145,85.18518518518519,18.51851851851852
94s,21,25.640000000000008,1.2209523809523812,76.19047619047619,28.57142857142857
93s,16,-26.28,-1.6425,56.25,6.25
92s,20,-5.090000000000003,-0.25450000000000017,75.0,10.0
A8o,138,441.93,3.202391304347826,87.68115942028986,25.36231884057971
K8o,83,199.05,2.3981927710843376,71.08433734939759,15.66265060240964
Q8o,75,354.82,4.730933333333334,74.66666666666667,14.666666666666666
J8o,82,53.64666666666665,0.6542276422764225,76.82926829268293,12.195121951219512
T8o,90,210.07999999999998,2.334222222222222,72.22222222222221,15.555555555555555
98o,97,929.5700000000002,9.583195876288661,83.50515463917526,19.587628865979383
88,169,1200.4899999999996,7.103491124260352,95.85798816568047,47.337278106508876
87s,66,382.5,5.795454545454546,92.42424242424242,27.27272727272727
86s,62,64.28999999999999,1.0369354838709677,85.48387096774194,12.903225806451612
85s,36,236.89000000000007,6.58027777777778,83.33333333333334,8.333333333333332
84s,28,182.24,6.508571428571429,82.14285714285714,17.857142857142858
83s,20,94.4,4.720000000000001,85.0,0.0
82s,22,21.450000000000003,0.9750000000000001,68.18181818181817,13.636363636363635
A7o,131,388.4433333333334,2.9652162849872776,83.20610687022901,17.557251908396946
K7o,60,-21.529999999999987,-0.3588333333333331,75.0,20.0
Q7o,65,200.25000000000003,3.0807692307692314,61.53846153846154,12.307692307692308
J7o,44,-549.95,-12.498863636363637,65.9090909090909,15.909090909090908
T7o,49,-68.28,-1.393469387755102,67.3469387755102,6.122448979591836
97o,71,265.83,3.7440845070422535,69.01408450704226,12.676056338028168
87o,75,515.5300000000001,6.873733333333335,78.66666666666666,4.0
77,170,1924.5300000000004,11.320764705882356,96.47058823529412,39.411764705882355
76s,55,694.47,12.626727272727273,87.27272727272727,20.0
75s,43,268.58,6.246046511627907,86.04651162790698,16.27906976744186
74s,40,492.65000000000003,12.31625,87.5,12.5
73s,20,118.06,5.9030000000000005,75.0,10.0
72s,17,-3.0500000000000007,-0.17941176470588238,82.35294117647058,23.52941176470588
A6o,118,699.61,5.928898305084746,80.50847457627118,21.1864406779661
K6o,57,177.885,3.1207894736842103,70.17543859649122,8.771929824561402
Q6o,43,69.14999999999999,1.6081395348837206,51.162790697674424,2.3255813953488373
J6o,26,-48.19,-1.8534615384615383,65.38461538461539,7.6923076923076925
T6o,25,42.0,1.68,44.0,8.0
96o,53,226.55,4.274528301886793,73.58490566037736,5.660377358490567
86o,51,468.82,9.192549019607844,70.58823529411765,13.725490196078432
76o,78,462.71000000000004,5.9321794871794875,80.76923076923077,8.974358974358974
66,148,935.5300000000001,6.3211486486486494,94.5945945945946,33.78378378378378
65s,43,357.9199999999999,8.323720930232556,88.37209302325581,30.23255813953488
64s,38,83.30000000000001,2.1921052631578952,86.8421052631579,21.052631578947366
63s,30,56.7,1.8900000000000001,96.66666666666667,13.333333333333334
62s,27,209.66000000000003,7.765185185185186,70.37037037037037,0.0
A5o,133,486.08333333333326,3.654761904761904,87.21804511278195,15.037593984962406
K5o,42,-13.899999999999999,-0.33095238095238094,66.66666666666666,9.523809523809524
Q5o,35,130.325,3.7235714285714283,65.71428571428571,8.571428571428571
J5o,30,88.25,2.941666666666667,53.333333333333336,6.666666666666667
T5o,30,131.49,4.383,53.333333333333336,0.0
95o,31,-13.800000000000004,-0.4451612903225808,54.83870967741935,3.225806451612903
85o,30,-107.64333333333335,-3.5881111111111115,46.666666666666664,10.0
75o,55,108.60000000000001,1.9745454545454546,85.45454545454545,7.2727272727272725
65o,65,-64.56,-0.9932307692307693,73.84615384615385,10.76923076923077
55,129,29.140000000000185,0.22589147286821848,94.57364341085271,34.10852713178294
54s,62,35.330000000000005,0.5698387096774195,98.38709677419355,14.516129032258066
53s,49,410.85999999999996,8.384897959183673,75.51020408163265,18.367346938775512
52s,25,-119.10999999999999,-4.764399999999999,88.0,20.0
A4o,95,424.57000000000005,4.469157894736843,76.84210526315789,13.684210526315791
K4o,44,139.1,3.161363636363636,63.63636363636363,4.545454545454546
Q4o,39,-88.57,-2.271025641025641,66.66666666666666,10.256410256410255
J4o,38,61.375,1.6151315789473684,57.89473684210527,7.894736842105263
T4o,27,50.92,1.885925925925926,44.44444444444444,0.0
94o,27,19.549999999999997,0.724074074074074,62.96296296296296,14.814814814814813
84o,32,2.3500000000000014,0.07343750000000004,71.875,6.25
74o,24,86.66,3.6108333333333333,50.0,16.666666666666664
64o,34,-259.6,-7.635294117647059,67.64705882352942,11.76470588235294
54o,67,31.47,0.4697014925373134,70.1492537313433,10.44776119402985
44,145,1553.58,10.714344827586206,93.79310344827586,32.41379310344827
43s,50,173.2,3.464,92.0,8.0
42s,28,31.699999999999996,1.132142857142857,82.14285714285714,10.714285714285714
A3o,101,276.4033333333333,2.7366666666666664,86.13861386138613,21.782178217821784
K3o,51,-83.61,-1.6394117647058823,64.70588235294117,5.88235294117647
Q3o,30,-108.63,-3.621,63.33333333333333,0.0
J3o,26,67.69999999999999,2.6038461538461535,42.30769230769231,7.6923076923076925
T3o,23,-8.75,-0.3804347826086957,52.17391304347826,4.3478260869565215
93o,16,43.75,2.734375,43.75,6.25
83o,20,-71.73,-3.5865,55.00000000000001,15.0
73o,22,-37.25,-1.6931818181818181,45.45454545454545,0.0
63o,36,54.1,1.5027777777777778,61.111111111111114,5.555555555555555
53o,37,79.58000000000001,2.1508108108108113,59.45945945945946,8.108108108108109
43o,43,578.03,13.442558139534883,67.44186046511628,9.30232558139535
33,119,1701.3,14.296638655462184,95.7983193277311,29.411764705882355
32s,35,432.46,12.356,74.28571428571429,5.714285714285714
A2o,89,-3.3400000000000034,-0.03752808988764049,75.28089887640449,21.34831460674157
K2o,48,85.9,1.7895833333333335,47.91666666666667,6.25
Q2o,31,-64.05,-2.0661290322580643,54.83870967741935,0.0
J2o,25,-58.95,-2.358,44.0,4.0
T2o,28,-5.5,-0.19642857142857142,57.14285714285714,3.571428571428571
92o,25,56.75,2.27,60.0,8.0
82o,26,19.75,0.7596153846153846,42.30769230769231,0.0
72o,28,112.45,4.016071428571428,50.0,10.714285714285714
62o,21,57.15,2.7214285714285715,42.857142857142854,4.761904761904762
52o,22,-123.79999999999998,-5.627272727272726,54.54545454545454,13.636363636363635
42o,25,-17.06,-0.6823999999999999,60.0,16.0
32o,36,-144.34,-4.009444444444444,55.55555555555556,8.333333333333332
22,133,1674.36,12.589172932330825,94.73684210526315,27.06766917293233
